0,2,hXkY4KXz9vk9072dMSGYLPHaHDA=,1XnKjZtI8/FYbscFxq9OeHTtJlM=
0,4,hXkY4KXz9vk9072dMSGYLPHaHDA=,1XnKjZtI8/FYbscFxq9OeHTtJlM=
0,3,hXkY4KXz9vk9072dMSGYLPHaHDA=,1XnKjZtI8/FYbscFxq9OeHTtJlM=
0,1,hXkY4KXz9vk9072dMSGYLPHaHDA=,1XnKjZtI8/FYbscFxq9OeHTtJlM=
0,5,hXkY4KXz9vk9072dMSGYLPHaHDA=,wAcPr0eYpXke1wcCmdPD1OItStI=
1,1,hXkY4KXz9vk9072dMSGYLPHaHDA=,1XnKjZtI8/FYbscFxq9OeHTtJlM=
1,3,hXkY4KXz9vk9072dMSGYLPHaHDA=,1XnKjZtI8/FYbscFxq9OeHTtJlM=
1,2,hXkY4KXz9vk9072dMSGYLPHaHDA=,1XnKjZtI8/FYbscFxq9OeHTtJlM=
1,5,hXkY4KXz9vk9072dMSGYLPHaHDA=,wAcPr0eYpXke1wcCmdPD1OItStI=
1,4,hXkY4KXz9vk9072dMSGYLPHaHDA=,1XnKjZtI8/FYbscFxq9OeHTtJlM=
1,0,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,/15ITkEylN3juOvXR1ZnoWynEzY=
0,0,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,1XnKjZtI8/FYbscFxq9OeHTtJlM=
2,2,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
2,3,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
2,0,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
2,1,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
2,4,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
2,5,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,+i9ES8VJlqDTKEeHayp22FIcckk=
3,3,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
3,2,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
3,1,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
3,0,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
3,4,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
3,5,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,+i9ES8VJlqDTKEeHayp22FIcckk=
4,4,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
4,1,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
4,0,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
4,5,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,+i9ES8VJlqDTKEeHayp22FIcckk=
4,2,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
4,3,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
5,5,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,+i9ES8VJlqDTKEeHayp22FIcckk=
5,4,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
5,1,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
5,0,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
5,3,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
5,2,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
5,6,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,XqiU+bwTJt/XlvfbH6iC/S/PwHU=
6,4,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
6,5,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,+i9ES8VJlqDTKEeHayp22FIcckk=
6,2,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
6,3,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
6,0,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
6,1,uWp0wqN/7aEUFC9fr3xzKA9PmsM=,oUhxXEiwx6KSPU6GrJBt6gqMjWU=
